question,answer,llm_answer,model_parsed,correct_parsed,is_correct
"The sum of Cooper’s, Dante’s, and Maria’s ages is 31. Dante is twice as old as Cooper. Maria is one year older than Dante. How old is Cooper?","Let X be the age of Cooper. So Dante is X*2 years old and Maria is X*2 + 1 year old.
The sum of Cooper’s, Dante’s, and Maria’s ages is X + (X*2) + (X*2 + 1) = 31.
Combining like terms, we get X*5 + 1 = 31.
Subtracting one from both sides, we get X*5 = 30.
Dividing both sides by 5, we get X = 6 years old.
#### 6","Let C be Cooper's age, D be Dante's age, and M be Maria's age.

We are given the following information:
1. The sum of their ages is 31: C + D + M = 31
2. Dante is twice as old as Cooper: D = 2C
3. Maria is one year older than Dante: M = D + 1

We need to find Cooper's age (C).

We can use substitution to solve this system of equations.

Substitute the second equation (D = 2C) into the third equation:
M = (2C) + 1
M = 2C + 1

Now, substitute the expressions for D and M in terms of C into the first equation:
C + (2C) + (2C + 1) = 31

Combine the terms with C:
(C + 2C + 2C) + 1 = 31
5C + 1 = 31

Now, solve for C. First, subtract 1 from both sides of the equation:
5C = 31 - 1
5C = 30

Next, divide both sides by 5:
C = 30 / 5
C = 6

So, Cooper is 6 years old.

We can check our answer:
If Cooper is 6, then Dante is 2 * 6 = 12.
If Dante is 12, then Maria is 12 + 1 = 13.
The sum of their ages is 6 + 12 + 13 = 31. This matches the given information.

#### 6",6.0,6.0,True
Toby is in a juggling contest with a friend. The winner is whoever gets the most objects rotated around in 4 minutes. Toby has 5 baseballs and each one makes 80 rotations. His friend has 4 apples and each one makes 101 rotations. How many total rotations of objects are made by the winner?,"Toby gets 400 full rotations because 5 x 80 = <<5*80=400>>400
His friend get 404 rotations because 4 x 101 = <<4*101=404>>404
The winner rotated 404 objects because 404 > 400
#### 404","First, we need to calculate the total rotations Toby made.
Toby has 5 baseballs, and each baseball makes 80 rotations.
Toby's total rotations = Number of baseballs * Rotations per baseball
Toby's total rotations = 5 * 80 = 400 rotations.

Next, we need to calculate the total rotations his friend made.
His friend has 4 apples, and each apple makes 101 rotations.
Friend's total rotations = Number of apples * Rotations per apple
Friend's total rotations = 4 * 101 = 404 rotations.

The problem asks for the total rotations of objects made by the *winner*. We need to determine who the winner is by comparing their total rotations.
Toby's rotations = 400
Friend's rotations = 404

Since 404 is greater than 400, Toby's friend is the winner.

The question asks for ""How many total rotations of objects are made by the winner?"". This means we need to state the winning score.
The winner's total rotations are 404.

#### 404",404.0,404.0,True
"There are 248 pages in a book. Joanna can read 16 pages per hour. On Monday, she reads for 3 hours. On Tuesday, she reads for 6.5 hours. How many more hours does she need to read to finish the book?","On Monday, Joanna reads 3*16=<<3*16=48>>48 pages.
On Tuesday, Joanna reads 6.5 * 16 =<<6.5*16=104>>104 pages.
So far, she has read 48 +104 =<<48+104=152>>152 pages.
Thus, she has 248-152 = <<248-152=96>>96 pages left.
She will need to read for 96/16 = <<96/16=6>>6 hours to finish the book.
#### 6","First, we need to calculate the total number of pages Joanna has read on Monday and Tuesday.
Pages read on Monday = 16 pages/hour * 3 hours = 48 pages.
Pages read on Tuesday = 16 pages/hour * 6.5 hours = 104 pages.

Next, we find the total number of pages read so far.
Total pages read = Pages read on Monday + Pages read on Tuesday = 48 pages + 104 pages = 152 pages.

Now, we determine how many pages are left to read.
Pages remaining = Total pages in the book - Total pages read = 248 pages - 152 pages = 96 pages.

Finally, we calculate how many more hours Joanna needs to read to finish the book.
Hours needed = Pages remaining / Pages read per hour = 96 pages / 16 pages/hour = 6 hours.

#### 6",6.0,6.0,True
"Sally was at a self-serve candy shop where you scoop candy from the bins and pay based on the weight. She scoops 32 cherry sours into a bag. Then she gets a scoop of lemon sours, and the ratio of cherry sours to lemon sours is 4:5. Then she gets a scoop of orange sours, and they make up 25% of the sours in the bag. How many sours does she have in total?","She has 4 cherry sours for every 5 lemon sours, so the number of lemon sours = (5 lemon sours* 32 cherry sours) / 4 cherry sours = <<5*32/4=40>>40 lemon sours.
This puts the total at 32 cherry sours + 40 lemon sours = <<32+40=72>>72 sours.
After the orange sours are added, they make up 25% of the total sours. Let x = the total number of sours.
x - 0.25*x = 72 sours => 0.75*x = 72 sours => x = 72 sours / 0.75 = <<72/0.75=96>>96 sours total.
#### 96","Answer: Let's think step by step.

1.  **Cherry Sours:** Sally starts with 32 cherry sours.

2.  **Lemon Sours:** The ratio of cherry sours to lemon sours is 4:5. This means for every 4 cherry sours, there are 5 lemon sours.
    We can set up a proportion:
    $\frac{\text{Cherry Sours}}{\text{Lemon Sours}} = \frac{4}{5}$
    We know Sally has 32 cherry sours, so:
    $\frac{32}{\text{Lemon Sours}} = \frac{4}{5}$
    To solve for Lemon Sours, we can cross-multiply:
    $4 \times \text{Lemon Sours} = 32 \times 5$
    $4 \times \text{Lemon Sours} = 160$
    $\text{Lemon Sours} = \frac{160}{4}$
    $\text{Lemon Sours} = 40$
    So, Sally has 40 lemon sours.

3.  **Total Sours Before Orange:** Before adding orange sours, Sally has the sum of cherry and lemon sours.
    Total (Cherry + Lemon) = 32 + 40 = 72 sours.

4.  **Orange Sours:** The orange sours make up 25% of the *total* sours in the bag. This means the orange sours are 25% of the final total, and the cherry and lemon sours together make up the remaining 75% of the final total.
    We know that the 72 cherry and lemon sours represent 75% of the total sours. Let 'T' be the total number of sours.
    $0.75 \times T = 72$
    To find the total number of sours (T), we divide 72 by 0.75:
    $T = \frac{72}{0.75}$
    $T = 96$
    So, the total number of sours in the bag is 96.

    Alternatively, we can calculate the number of orange sours directly. If cherry and lemon sours make up 75% of the total, and we have 72 of them, then the number of orange sours is 25% of that total.
    Number of orange sours = 25% of 96 = $0.25 \times 96 = 24$.
    Total sours = Cherry Sours + Lemon Sours + Orange Sours = 32 + 40 + 24 = 96.

5.  **Final Total:** The total number of sours Sally has is the sum of cherry, lemon, and orange sours.
    Total Sours = 32 (cherry) + 40 (lemon) + 24 (orange) = 96 sours.

#### 96",96.0,96.0,True
"Lucy is listening to her favorite album while jumping rope. She can jump the rope 1 time per second. If the album's songs are all 3.5 minutes long and there are 10 songs, how many times will she jump rope?","She can jump her rope 60 times a minute because 60 x 1 = <<60*1=60>>60
The album is 35 minutes long because 10 x 3.5 = <<10*3.5=35>>35
She will jump her rope 2100 times during the album because 35 x 60 = <<35*60=2100>>2100
#### 2100","First, we need to determine the total duration of the album in seconds.
The album has 10 songs, and each song is 3.5 minutes long.
Total duration in minutes = 10 songs * 3.5 minutes/song = 35 minutes.

Next, we convert the total duration from minutes to seconds.
There are 60 seconds in 1 minute.
Total duration in seconds = 35 minutes * 60 seconds/minute = 2100 seconds.

Lucy jumps rope 1 time per second.
Therefore, the total number of times she will jump rope is equal to the total duration of the album in seconds.
Total jumps = 2100 seconds * 1 time/second = 2100 times.

#### 2100",2100.0,2100.0,True
"In a car dealership, Fiona worked for 40 hours a week, John for 30 hours, and Jeremy for 25 hours. If the employees are paid $20 per hour, how much money does their boss spend paying all of them every month?","Fiona earns 40 hours/week * $20/hour = $<<40*20=800>>800/week
So she earns $800/week * 4 weeks/month = $3200/month
John earns 30 hours/week * $20/hour = $<<30*20=600>>600/week
So he earns $600/week * 4 weeks/month = $<<600*4=2400>>2400/month
Jeremy earns 25 hours * $20/hour = $<<25*20=500>>500/week
So he earns $500/week * 4 weeks/month = $2000/month
Overall their boss has to spend $3200/month + $2400/month + $2000/month = $<<3200+2400+2000=7600>>7600/month
#### 7600","First, we need to calculate the total hours worked by all employees in a week.
Fiona's hours: 40 hours
John's hours: 30 hours
Jeremy's hours: 25 hours
Total weekly hours = 40 + 30 + 25 = 95 hours

Next, we calculate the total weekly pay for all employees.
Hourly pay rate = $20 per hour
Total weekly pay = Total weekly hours * Hourly pay rate
Total weekly pay = 95 hours * $20/hour = $1900

Finally, we need to calculate the total monthly pay. We will assume there are 4 weeks in a month for this calculation.
Total monthly pay = Total weekly pay * Number of weeks in a month
Total monthly pay = $1900/week * 4 weeks/month = $7600

#### $7600",7600.0,7600.0,True
"Mary just arrived at the beach. She has 4 times as many towels as Frances does. The total weight of their towels is 60 pounds. If Mary has 24 towels, how much do Frances's towels weigh in ounces?","Frances has 24/4 = <<24/4=6>>6 towels.
They have 24+6=<<24+6=30>>30 towels.
Each towel weighs 60/30=<<60/30=2>>2 pounds.
Frances’s towels weigh a total of 2*4 = <<2*4=8>>8 pounds
Frances’s towels weigh a total of 8*16 = <<8*16=128>>128 ounces
#### 128","Let M be the number of towels Mary has, and F be the number of towels Frances has.
Let W_M be the weight of Mary's towels, and W_F be the weight of Frances's towels.

We are given that Mary has 4 times as many towels as Frances does. This means:
M = 4 * F

We are also given that Mary has 24 towels. So, M = 24.
We can use this to find the number of towels Frances has:
24 = 4 * F
F = 24 / 4
F = 6

So, Frances has 6 towels.

The total weight of their towels is 60 pounds. This means:
W_M + W_F = 60 pounds

We need to find the weight of Frances's towels in ounces. To do this, we first need to find the weight of Mary's towels.
The problem states ""Mary has 4 times as many towels as Frances does."" This phrasing refers to the *number* of towels, not their weight. The weight information is given separately.

Let's assume that all towels have the same weight. If this assumption is not made, the problem is unsolvable with the given information.

If Mary has 24 towels and Frances has 6 towels, and the total weight is 60 pounds, we can determine the weight per towel.
Total number of towels = M + F = 24 + 6 = 30 towels.
Weight per towel = Total weight / Total number of towels = 60 pounds / 30 towels = 2 pounds/towel.

Now we can find the weight of Mary's towels and Frances's towels.
Weight of Mary's towels (W_M) = Number of Mary's towels * Weight per towel = 24 towels * 2 pounds/towel = 48 pounds.
Weight of Frances's towels (W_F) = Number of Frances's towels * Weight per towel = 6 towels * 2 pounds/towel = 12 pounds.

Let's check if the total weight is correct: W_M + W_F = 48 pounds + 12 pounds = 60 pounds. This matches the given information.

The question asks for the weight of Frances's towels in ounces.
We know that 1 pound = 16 ounces.
Weight of Frances's towels in ounces = W_F (in pounds) * 16 ounces/pound
Weight of Frances's towels in ounces = 12 pounds * 16 ounces/pound
Weight of Frances's towels in ounces = 192 ounces.

#### 192",192.0,128.0,False
Bobby can deadlift 300 pounds at 13.  When he is 18 he can deadlift 100 pounds more than 250% of his previous deadlift.  How many pounds did he add per year?,"His new deadlift is 300*2.5+100=<<300*2.5+100=850>>850 pounds
So he added 850-300=<<850-300=550>>550 pounds to his deadlift
This took 18-13=<<18-13=5>>5 years
So he added 550/5=<<550/5=110>>110 pounds per year
#### 110","First, we need to determine Bobby's deadlift weight at age 18.
His deadlift at age 13 is 300 pounds.
At age 18, he can deadlift 100 pounds more than 250% of his previous deadlift.

Calculate 250% of his previous deadlift:
250% of 300 pounds = 2.50 * 300 pounds = 750 pounds.

Now, add the extra 100 pounds:
Deadlift at age 18 = 750 pounds + 100 pounds = 850 pounds.

Next, we need to find the total increase in his deadlift weight.
Total increase = Deadlift at age 18 - Deadlift at age 13
Total increase = 850 pounds - 300 pounds = 550 pounds.

Now, we need to calculate the number of years between age 13 and age 18.
Number of years = 18 - 13 = 5 years.

Finally, we can calculate how many pounds he added per year.
Pounds added per year = Total increase / Number of years
Pounds added per year = 550 pounds / 5 years = 110 pounds per year.

#### 110",110.0,110.0,True
"Emani has $30 more money than Howard. If Emani has $150, and they decide to combine and share the money equally, how much money does each get?","If Emani has $150, Howard has $150 - $30 = $<<150-30=120>>120
In total, they have $120 + $150 = $<<120+150=270>>270
When they share this money equally, each gets $270 / 2 people = $<<270/2=135>>135/person
#### 135","Let E be the amount of money Emani has, and H be the amount of money Howard has.

**Step 1: Determine the amount of money Emani has.**
The problem states that Emani has $150.
So, E = $150.

**Step 2: Determine the amount of money Howard has.**
The problem states that Emani has $30 more money than Howard. This can be written as:
E = H + $30
We know E = $150, so we can substitute this value into the equation:
$150 = H + $30
To find H, subtract $30 from both sides of the equation:
H = $150 - $30
H = $120

**Step 3: Calculate the total amount of money they have combined.**
To find the total amount, add Emani's money and Howard's money:
Total = E + H
Total = $150 + $120
Total = $270

**Step 4: Calculate how much money each person gets when they share equally.**
To share the money equally, divide the total amount by 2:
Amount per person = Total / 2
Amount per person = $270 / 2
Amount per person = $135

#### $135",135.0,135.0,True
"Cersei bought 50 cotton candies. She gave her brother and sister 5 cotton candies each, then gave the remaining one-fourth of them to her cousin. If she ate 12 cotton candies, how many cotton candies are left?","Cersei gave a total of 5 x 2 = <<5*2=10>>10 cotton candies to her brother and sister.
So, the total cotton candies left were 50 - 10 = <<50-10=40>>40.
And she gave 1/4 x 40 = <<1/4*40=10>>10 cotton candies to her cousin.
So, the total number of cotton candies left was 40 - 10 = <<40-10=30>>30.
Therefore, the total number of cotton candies left after she ate 12 of them is 30 - 12 = <<30-12=18>>18.
#### 18","Question: Cersei bought 50 cotton candies. She gave her brother and sister 5 cotton candies each, then gave the remaining one-fourth of them to her cousin. If she ate 12 cotton candies, how many cotton candies are left?
Answer: Let's think step by step.

1.  **Initial number of cotton candies:** Cersei starts with 50 cotton candies.

2.  **Cotton candies given to brother and sister:**
    *   She gave 5 cotton candies to her brother.
    *   She gave 5 cotton candies to her sister.
    *   Total given to siblings = 5 + 5 = 10 cotton candies.

3.  **Cotton candies remaining after giving to siblings:**
    *   Remaining = Initial amount - Amount given to siblings
    *   Remaining = 50 - 10 = 40 cotton candies.

4.  **Cotton candies given to her cousin:**
    *   She gave one-fourth of the *remaining* cotton candies to her cousin.
    *   Amount given to cousin = (1/4) * 40 = 10 cotton candies.

5.  **Cotton candies remaining after giving to cousin:**
    *   Remaining = Amount after siblings - Amount given to cousin
    *   Remaining = 40 - 10 = 30 cotton candies.

6.  **Cotton candies eaten by Cersei:**
    *   Cersei ate 12 cotton candies.

7.  **Final number of cotton candies left:**
    *   Left = Amount after cousin - Amount eaten
    *   Left = 30 - 12 = 18 cotton candies.

#### 18",18.0,18.0,True
"Malcolm works in a company where they normally pack 40 apples in a box, producing 50 full boxes per day. Operations went as normal in one week. But in the next week, they packed 500 fewer apples per day. What's the total number of apples packed in the two weeks?","In the first week, each day they pack 40*50 = <<40*50=2000>>2000 apples
The total number of apples packed in the boxes is 2000*7 = <<2000*7=14000>>14000 apples in the first week.
When 500 fewer apples were packed each day in the next week, the total became 2000-500 = <<2000-500=1500>>1500 apples per day.
The total number of apples packed in the boxes that week is 1500*7 = <<1500*7=10500>>10500 apples.
The total is 14000+10500 = <<14000+10500=24500>>24500 apples for the two weeks
#### 24500","First, let's calculate the number of apples packed in the first week.
Number of apples per box = 40
Number of full boxes per day = 50
Number of apples packed per day = 40 apples/box * 50 boxes/day = 2000 apples/day
Assuming a standard work week of 5 days:
Number of apples packed in the first week = 2000 apples/day * 5 days/week = 10000 apples

Next, let's calculate the number of apples packed in the second week.
In the second week, they packed 500 fewer apples per day.
Number of apples packed per day in the second week = 2000 apples/day - 500 apples/day = 1500 apples/day
Assuming the same work week of 5 days:
Number of apples packed in the second week = 1500 apples/day * 5 days/week = 7500 apples

Finally, let's calculate the total number of apples packed in the two weeks.
Total apples packed = Apples packed in week 1 + Apples packed in week 2
Total apples packed = 10000 apples + 7500 apples = 17500 apples

#### 17500",17500.0,24500.0,False
There are 21 cherry tomatoes on the tomato plant.  2 birds eat one-third of the tomatoes.  How many are still left on the tomato plant?,"The birds eat this many tomatoes: 21 / 3 = <<21/3=7>>7 tomatoes.
There are this many tomatoes left on the plant: 21 - 7 = <<21-7=14>>14 tomatoes.
#### 14","The problem asks us to find the number of cherry tomatoes remaining after some have been eaten by birds.

**Step 1: Calculate the number of tomatoes eaten by the birds.**
The birds eat one-third of the 21 cherry tomatoes.
Number of tomatoes eaten = (1/3) * 21

**Step 2: Perform the calculation for the number of tomatoes eaten.**
(1/3) * 21 = 21 / 3 = 7
So, the birds ate 7 cherry tomatoes.

**Step 3: Calculate the number of tomatoes still left on the plant.**
To find out how many are left, subtract the number eaten from the original number.
Tomatoes left = Original number of tomatoes - Number of tomatoes eaten
Tomatoes left = 21 - 7

**Step 4: Perform the calculation for the number of tomatoes left.**
21 - 7 = 14
There are 14 cherry tomatoes still left on the tomato plant.

#### 14",14.0,14.0,True
"Alice and Bob decided to bake cookies for their first date. Alice baked 74 chocolate chip cookies and Bob baked 7 peanut butter cookies. After accidentally throwing some on the floor, Alice baked 5 more cookies and Bob baked 36 more. If they had 93 edible cookies at the end, how many were accidentally thrown on the floor?","Before throwing the cookies, Alice and Bob baked 74 + 7 = <<74+7=81>>81 cookies.
After throwing the cookies, they baked 5 + 36 = <<5+36=41>>41 cookies.
In total, they baked 81 + 41 = <<81+41=122>>122 cookies
They threw 122 - 93 = <<122-93=29>>29 cookies on the floor.
#### 29","Let's think step by step.

**1. Initial number of cookies:**
Alice baked 74 cookies.
Bob baked 7 cookies.
Total initial cookies = 74 + 7 = 81 cookies.

**2. Cookies baked additionally:**
Alice baked 5 more cookies.
Bob baked 36 more cookies.
Total additional cookies baked = 5 + 36 = 41 cookies.

**3. Total cookies baked before any were thrown:**
Total cookies baked = Initial cookies + Additional cookies baked
Total cookies baked = 81 + 41 = 122 cookies.

**4. Edible cookies at the end:**
They had 93 edible cookies at the end.

**5. Number of cookies thrown on the floor:**
The number of cookies thrown on the floor is the difference between the total cookies baked and the number of edible cookies remaining.
Cookies thrown = Total cookies baked - Edible cookies
Cookies thrown = 122 - 93 = 29 cookies.

#### 29",29.0,29.0,True
A movie theatre has 250 seats. The cost of a ticket is $6 for an adult and $4 for a child. The theatre is full and contains 188 children. What is the total ticket revenue for this movie session?,"The number of adults present is 250 – 188 = <<250-188=62>>62 adults
The revenue generated by adults is 62 * 6 = $<<62*6=372>>372
The revenue generated by children is 188 * 4 = $<<188*4=752>>752
So the total ticket revenue is 372 + 752= $<<372+752=1124>>1124
#### 1124","The problem asks for the total ticket revenue for a movie session.
We are given:
- Total seats in the theatre: 250
- Cost of an adult ticket: $6
- Cost of a child ticket: $4
- The theatre is full.
- Number of children: 188

First, we need to determine the number of adults in the theatre.
Since the theatre is full and has 250 seats, and there are 188 children, the number of adults is the total number of seats minus the number of children.
Number of adults = Total seats - Number of children
Number of adults = 250 - 188
Number of adults = 62

Next, we calculate the revenue from adult tickets.
Revenue from adult tickets = Number of adults × Cost of an adult ticket
Revenue from adult tickets = 62 × $6
Revenue from adult tickets = $372

Then, we calculate the revenue from child tickets.
Revenue from child tickets = Number of children × Cost of a child ticket
Revenue from child tickets = 188 × $4
Revenue from child tickets = $752

Finally, we calculate the total ticket revenue by adding the revenue from adult tickets and the revenue from child tickets.
Total ticket revenue = Revenue from adult tickets + Revenue from child tickets
Total ticket revenue = $372 + $752
Total ticket revenue = $1124

#### $1124",1124.0,1124.0,True
Mark wants to build a pyramid of soda cases that's four levels tall. Each level of the pyramid has a square base where each side is one case longer than the level above it. The top level is just one case. How many cases of soda does Mark need?,"We know that the top level just has one case. Since each level has one more case per side than the level above it, the second level has sides that are 2 cases long.
We can figure out how many cases we need for the second level by finding the area of a square with a side length of 2: 2 cases * 2 cases = <<2*2=4>>4 cases
The third level has three cases per side, so we need to find the area of a square with side length 3: 3 cases * 3 cases = <<3*3=9>>9 cases
The fourth level has a side length of 4, so we find its area with 4 cases * 4 cases = <<4*4=16>>16 cases
Finally, we add up the number of cases we need on each level: 1 cases + 4 cases + 9 cases + 16 cases = <<1+4+9+16=30>>30 cases
#### 30","The problem asks us to calculate the total number of soda cases needed to build a four-level pyramid. The structure of each level is a square, and the side length of the square increases by one case for each level going down. The top level has a side length of one case.

**Level 1 (Top Level):**
The top level is a square with a side length of 1 case.
Number of cases in Level 1 = side * side = 1 * 1 = 1 case.

**Level 2:**
The side length of Level 2 is one case longer than Level 1.
Side length of Level 2 = 1 + 1 = 2 cases.
Number of cases in Level 2 = side * side = 2 * 2 = 4 cases.

**Level 3:**
The side length of Level 3 is one case longer than Level 2.
Side length of Level 3 = 2 + 1 = 3 cases.
Number of cases in Level 3 = side * side = 3 * 3 = 9 cases.

**Level 4 (Bottom Level):**
The side length of Level 4 is one case longer than Level 3.
Side length of Level 4 = 3 + 1 = 4 cases.
Number of cases in Level 4 = side * side = 4 * 4 = 16 cases.

**Total Number of Cases:**
To find the total number of cases, we sum the cases from each level.
Total cases = Cases in Level 1 + Cases in Level 2 + Cases in Level 3 + Cases in Level 4
Total cases = 1 + 4 + 9 + 16
Total cases = 30 cases.

#### 30",30.0,30.0,True
"Trevor is a comic book illustrator. In the past three months, he has drawn 220 pages of the comic. The comic he illustrates releases a new issue once a month. The first and second months’ issues were the same number of pages, but the third month’s issue was four pages longer than either of the others. How many pages was the first issue of the comic?","Let P be the number of pages of the first issue of the comic.
The second issue is the same number of pages, so the first and second issues are P + P = 2P pages.
The third issue is 4 pages longer, so it is P + 4 pages.
All three issues are 2P + P + 4 = 3P + 4 = 220 pages long.
Thus, 3P = 220 - 4 = 216 pages.
Therefore, the first issue of the comic was P = 216 / 3 = <<216/3=72>>72 pages.
#### 72","Let $x$ be the number of pages in the first issue.
Let $x$ also be the number of pages in the second issue, as the first and second months' issues were the same number of pages.
The third month's issue was four pages longer than either of the others, so it had $x + 4$ pages.

The total number of pages drawn over the past three months is 220.
So, we can set up the equation:
(Pages in month 1) + (Pages in month 2) + (Pages in month 3) = Total pages

$x + x + (x + 4) = 220$

Now, we solve for $x$:
Combine like terms:
$3x + 4 = 220$

Subtract 4 from both sides of the equation:
$3x = 220 - 4$
$3x = 216$

Divide both sides by 3:
$x = \frac{216}{3}$
$x = 72$

So, the first issue of the comic was 72 pages.
Let's check:
Month 1: 72 pages
Month 2: 72 pages
Month 3: 72 + 4 = 76 pages
Total pages: 72 + 72 + 76 = 144 + 76 = 220 pages. This matches the given information.

#### 72",72.0,72.0,True
"Peter is eating chips. Each chip is 10 calories. A bag has 24 chips and costs $2. If he wants to eat 480 calories, how much does he have to spend on chips?","Each bag has 240 calories because 24 x 10 = <<24*10=240>>240
He needs two bags because 480 / 240 = <<480/240=2>>2
It will cost $4 because 2 x 2 = <<2*2=4>>4
#### 4","First, we need to determine how many chips Peter needs to eat to reach 480 calories.
Each chip is 10 calories.
Number of chips needed = Total calories / Calories per chip
Number of chips needed = 480 calories / 10 calories/chip = 48 chips.

Next, we need to determine how many bags of chips Peter needs to buy to get 48 chips.
Each bag has 24 chips.
Number of bags needed = Total chips needed / Chips per bag
Number of bags needed = 48 chips / 24 chips/bag = 2 bags.

Finally, we need to calculate the total cost for the bags of chips.
Each bag costs $2.
Total cost = Number of bags needed * Cost per bag
Total cost = 2 bags * $2/bag = $4.

#### $4",4.0,4.0,True
Andrew's dog has 12 burrs and six times as many ticks as burrs. How many foreign objects total are caught in the dog's fur?,"First find how many burrs are caught in the dog's fur: 12 burrs * 6 ticks/burr = <<12*6=72>>72 ticks
Then add the number of burrs to find the total number objects: 72 objects + 12 objects = <<72+12=84>>84 objects
#### 84","Let's think step by step.
The problem states that Andrew's dog has 12 burrs.
The dog has six times as many ticks as burrs. This means the number of ticks is 6 * (number of burrs).
Number of ticks = 6 * 12 = 72 ticks.
To find the total number of foreign objects, we need to add the number of burrs and the number of ticks.
Total foreign objects = Number of burrs + Number of ticks.
Total foreign objects = 12 + 72 = 84.

#### 84",84.0,84.0,True
"The square footage of the two bedrooms in the apartment that Jenny and Martha share totals 300 square feet. If Jenny's bedroom is 60 square feet larger than Martha's, how large, in square feet, is Martha's bedroom?","Let M be the number of square feet in Matha's bedroom
Jenny's bedroom is M+60 square feet.
M+M+60=300
2M+60=300
2M=240
M=<<120=120>>120
Martha's bedroom is 120 square feet.
#### 120","Let J be the square footage of Jenny's bedroom and M be the square footage of Martha's bedroom.

We are given two pieces of information:
1. The total square footage of the two bedrooms is 300 square feet. This can be written as an equation:
   J + M = 300

2. Jenny's bedroom is 60 square feet larger than Martha's. This can be written as an equation:
   J = M + 60

Now we have a system of two linear equations with two variables. We can solve this system using substitution.

Substitute the second equation (J = M + 60) into the first equation (J + M = 300):
(M + 60) + M = 300

Combine the M terms:
2M + 60 = 300

Subtract 60 from both sides of the equation:
2M = 300 - 60
2M = 240

Divide both sides by 2 to solve for M:
M = 240 / 2
M = 120

So, Martha's bedroom is 120 square feet.

To check our answer, we can find Jenny's bedroom size:
J = M + 60
J = 120 + 60
J = 180

And then check the total square footage:
J + M = 180 + 120 = 300. This matches the given information.

#### 120",120.0,120.0,True
"Normally Ann can frost a cake in 5 minutes. However, today she has a sprained wrist and it takes her 8 minutes to frost a cake. How much longer would it take her to frost 10 cakes with her sprained wrist?","Normally, it would take her 5*10=<<5*10=50>>50 minutes
With her sprained wrist it will take her 8*10=<<8*10=80>>80 minutes
80-50=<<80-50=30>>30 more minutes
#### 30","First, we need to determine the time it takes Ann to frost 10 cakes with her sprained wrist.
Time per cake with sprained wrist = 8 minutes
Number of cakes = 10
Total time with sprained wrist = Time per cake * Number of cakes = 8 minutes/cake * 10 cakes = 80 minutes.

Next, we need to determine the time it would normally take Ann to frost 10 cakes.
Normal time per cake = 5 minutes
Number of cakes = 10
Total normal time = Normal time per cake * Number of cakes = 5 minutes/cake * 10 cakes = 50 minutes.

Finally, we need to find out how much longer it would take her with her sprained wrist.
Difference in time = Total time with sprained wrist - Total normal time
Difference in time = 80 minutes - 50 minutes = 30 minutes.

#### 30 minutes",30.0,30.0,True
"Peter has to walk 2.5 miles to get to the grocery store. If it takes him 20 minutes to walk one mile and he has walked 1 mile already, how many more minutes does he have to walk to reach it?","Peter has to walk a remaining 2.5 total miles - 1 mile completed = <<2.5-1=1.5>>1.5 miles remaining
It will take him another 20 minutes * 1.5 miles remaining = <<20*1.5=30>>30 minutes to get to the grocery store
#### 30","The total distance Peter needs to walk is 2.5 miles.
Peter has already walked 1 mile.
The remaining distance Peter needs to walk is the total distance minus the distance already walked: 2.5 miles - 1 mile = 1.5 miles.
It takes Peter 20 minutes to walk one mile.
To find out how many more minutes he has to walk, we multiply the remaining distance by the time it takes to walk one mile: 1.5 miles * 20 minutes/mile.
1.5 * 20 = 30 minutes.

#### 30",30.0,30.0,True
"Every time Janet folds her blanket its thickness doubles. If it starts out 3 inches thick, how thick will it be after 4 foldings?","First find how thick the blanket will be after 1 folding: 3 inches * 2 = <<3*2=6>>6 inches
Then find how thick the blanket will be after 2 foldings: 6 inches * 2 = <<6*2=12>>12 inches
Then find how thick the blanket will be after 3 foldings: 12 inches * 2 = <<12*2=24>>24 inches
Then find how thick the blanket will be after 4 foldings: 24 inches * 2 = <<24*2=48>>48 inches
#### 48","The initial thickness of the blanket is 3 inches.
Each folding doubles the thickness. We need to find the thickness after 4 foldings.

After 1 folding, the thickness will be 3 inches * 2 = 6 inches.
After 2 foldings, the thickness will be 6 inches * 2 = 12 inches.
After 3 foldings, the thickness will be 12 inches * 2 = 24 inches.
After 4 foldings, the thickness will be 24 inches * 2 = 48 inches.

Alternatively, we can use the formula for exponential growth:
Thickness = Initial Thickness * (Growth Factor)^Number of Foldings
Thickness = 3 inches * (2)^4
Thickness = 3 inches * 16
Thickness = 48 inches

#### 48",48.0,48.0,True
